"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000066991",32,31,66,9,40,83,3,0,5,18,16
"ENSRNOG00000069276",92,72,160,33,169,209,791,802,1898,1731,1790
"ENSRNOG00000059393",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015769",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013711",1,0,6,0,5,1,0,0,0,0,0
"ENSRNOG00000062961",0,0,0,0,1,1,2,0,1,1,0
"ENSRNOG00000069666",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056619",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000054452",0,0,1,0,0,1,0,0,0,0,0
"ENSRNOG00000051537",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064145",2,1,3,3,3,1,13,9,26,16,22
"ENSRNOG00000057094",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068142",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000055112",0,0,0,1,0,0,0,0,0,0,0
"ENSRNOG00000062973",20,20,32,2,32,25,0,0,0,2,0
"ENSRNOG00000062771",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000027808",4,6,8,0,7,12,0,3,9,11,17
"ENSRNOG00000033200",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000060056",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000055997",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070611",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069419",1,0,0,0,1,1,1,0,0,2,0
"ENSRNOG00000063442",0,0,0,0,1,0,1,0,0,0,0
"ENSRNOG00000069337",0,0,1,0,2,0,8,6,7,2,2
"ENSRNOG00000049772",22,15,24,13,30,41,67,67,94,130,139
"ENSRNOG00000053859",286,339,630,128,643,921,481,481,1129,1404,1382
"ENSRNOG00000066647",22,11,48,9,39,59,647,623,817,938,1151
"ENSRNOG00000054388",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066887",6,6,17,6,27,34,76,77,170,174,138
"ENSRNOG00000053929",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000030275",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000018915",86,65,187,53,172,421,31,28,61,47,34
"ENSRNOG00000051409",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000020358",702,671,1118,298,1276,1539,4490,4336,9173,7354,7728
"ENSRNOG00000068758",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063955",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066355",1,1,1,0,3,2,4,2,21,8,9
"ENSRNOG00000066028",0,0,0,0,0,1,1,0,3,0,1
"ENSRNOG00000064903",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000065819",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000054102",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000058869",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064667",507,563,1041,314,1170,1320,25,37,72,48,40
"ENSRNOG00000053502",106,115,131,35,189,197,4389,4392,10842,14256,14117
"ENSRNOG00000065888",0,0,0,0,0,0,0,0,0,0,0
